Address,Email Address,License Validity,Name,Official Representative,Status,Tel No/s,Website
1952-B TAFT AVE MALATE MANILA ,,to 7/26/1986,SMR INTERNATIONAL PLACEMENT  Private Employment Agency,MS MARIA ANTENOR,Forever Banned,596524,
2/F W & C BLDG 2438 BELARMINO ST MAKATI MM ,,11/16/1990 to 11/16/1992,SOLAR MARINE SERVICES CORP  Manning Agency,MS YVONNE S DEFENSOR,Delisted,,
"SUITE C,11F, G.E. ANTONINO BLG, J BOCOBO COR T M K ERMITA, MANILA",groupmail@solarlinkmri.com,1/30/2016 to 1/29/2020,SOLARLINK MARINE RESOURCES (SMR) INC (FOR: SOLAR MANNING SERVICES PHILS) Manning Agency,REYNALDO L MACARILAY,Valid License,02 - 2570320 / 09777365137,www.solarlinkmri.com
"ROOM 302 D ECJ BUILDING REAL STREET INTRAMUROS, MANILA",None,11/12/2014 to 11/12/2018,"SOLEX MARITIME, INC. Manning Agency",CAPT IMPARCIAL O TEODORO,Valid License,5276992 / 5276672,None
"201,301,302,1388 &1392 A SANTOS BLG,GEN LUNA PACO, MANILA",NA,8/1/2008 to 8/1/2012,SOLIDWORKS MANPOWER RESOURCES AND PROMOTION Private Employment Agency,IRENEO I. GUINMAPANG,Cancelled,5224758/3060519/3031671,NA
"304-B 400 & 405 GEDISCO CTR 1564 A.MABINI ST. ERMITA, MANILA",None,3/30/2004 to 3/29/2008,SOLIMAR PLACEMENT CORPORATION (FOR EL GRANDE PLACEMENT CORP) Private Employment Agency,VIRGINIA R CARALDE,Cancelled,5235503/ 4007775/ 5214258,None
153 QUIRINO AVE PARAÃ‘AQUE,,4/6/1994 to 4/5/1996,SOLKYST SHIPPING AGENCY INC  Manning Agency,MS DELIA M VILLAGRACIA,Delisted,8333089 / 8333088,
"2019 SAN MARCELINO STREET MALATE, MANILA",solpia@solpiamarine.com,3/8/2014 to 3/7/2018,SOLPIA MARINE AND SHIP MANAGEMENT INC Manning Agency,ROMANO A MARIANO,Valid License,5671726/ 5671727/ 5671729,www.solpiamarine.com
"12/F, IMET BPO, METROBANK AVENUE, METRO PARK PASAY CITY",soph.crewing@solstad.ph,3/13/2017 to 3/12/2021,SOLSTAD OFFSHORE CREWING SERVICES PHILIPPINES INC Manning Agency,ROLANDO C ADORABLE,Valid License,4641400/ 0920-9757448/ 0947-9962254 (mobile),www.solstad.com
"4TH FLOOR, 1751 DIAN ST PALANAN, MAKATI",crew.phils@solvangship.no,11/20/2016 to 11/19/2020,SOLVANG PHILIPPINES INC Manning Agency,CAPT VIRGILIO A LOPEZ JR,Valid License,8316520/ 09175719642,www.solvangship.no/contact/crewing-manila
6591 E RAMOS ST MAKATI M.M. ,,to 11/5/1987,SOLVECU CONSTRUCTION  Construction Contractor,MS SOLEDAD VELOSO CUYAS,Delisted,898091,
58-B F IÃ‘IGO STREET DAVAO CITY N.S.,None,11/14/2017 to 11/13/2021,SOPHIA AND NATASHA EMPLOYMENT AGENCY INC Private Employment Agency,ERNESTO RAPHAEL V ROBILLO,Valid License,2960299/2278101,None
10/F FELIZA BLDG HERRERA ST LEGASPI VILL MAKATI ,,to 10/17/1993,SORIAMONT STEAMSHIP AGENCIES INC  Manning Agency,MR CARLOS T SORIANO,Delisted,857931,
3/F CAPRICORN BLDG 1776 M ADRIATICO ST MALATE ,,4/21/1996 to 4/20/1998,SOSECO INTERNATIONAL CORPORATION  Service Contractor,MS LOURDES S ILAGAN,Delisted,587131 / 508488,
7467 BAGTIKAN ST SAN ANTONIO MAKATI CITY MAKATI,NA,7/3/2011 to 1/2/2012,SOTEC INTERNATIONAL ENTERPRISES INC Private Employment Agency,LALAINE C. ALBARILLO,Delisted,8974041/8974042,NA
1142 PRES QUIRINO AVE PACO MANILA ,,3/30/1998 to 3/28/2000,SOUTH EAST ASIA-MIDDLE EAST CORP  Service Contractor,MR REYNALDO G MARQUEZ,Delisted,597368,
17A STRATA2000 BLG. EMERALD AVE.ORTIGAS CTR PASIG CITY,south_oceanpldtdsl.net,8/9/2012 to 8/8/2016,SOUTH OCEAN MANNING CORP Manning Agency,VERBO M. CAPARAS,Valid License,6360941,www.somcorp.com
"215,216&217 2F SKYFREIGHT BLDG NINOY AQUINO AVENUE PARAÃ‘AQUE",info@seascor.com.ph,11/28/2015 to 11/27/2019,SOUTHEAST ASIA SHIPPING CORP Manning Agency,MR ROMEO D DALUSONG,Valid License,8545271/8545272,www.seascor.com.ph
"4H (GF&2F), VALUE POINT EXECUTIVE APARTMENT, 227 S LEGASPI VILLAGE, MAKATI",marketing@seapci.com,4/25/2016 to 4/24/2020,SOUTHEAST ASIAN PLACEMENT CENTER INC Private Employment Agency,MR JOEL FRANCISCO H ONG,Valid License,810-4033 / 810-4034,www.seapci.com
RECRAA BLDG VITALES CMPD SUCAT PARA#AQUE MM ,None,6/17/1988 to 6/17/1990,SOUTHEASTERN PLACEMENT INC Private Employment Agency,MR RODOLFO E ANDAYA,Delisted,4549733/ 4560840,None
98-D ROAD 1 COR. ROAD 3 PROJ. 6 Q.C. ,,5/14/2003 to 5/13/2005,SOUTHEASTERN SHIPPING  Manning Agency,MR LEONARDO P CAPARAS,Delisted,4549733 / 4560840,
"4410 CALATAGAN STREET BRGY PALANAN, MAKATI",NA,3/31/2006 to 3/31/2007,SOUTHERN COTABATO LANDBASE MANAGEMENT CORPORATION Private Employment Agency,DELIA C. MOLINA,Cancelled,8334070,NA
4/F RUDGEN 1 BLDG NO. 17 SHAW BOULEVARD PASIG CITY,None,12/5/2001 to 12/5/2003,SOUTHERN CROSS MARITIME CORPORATION Manning Agency,,Delisted,637-1373; 638-8570,None
RM.109 PHOENIX BLDG RECOLETOS INTRAMUROS MANILA ,,6/19/1994 to 6/18/1996,SOUTHERN SEAMEN & MANNING SERVICES CORPORATION Manning Agency,MR IGMEDIO G SORRERA,Delisted,5301540 / 482241,
"GF, 2F & 4F, 2115 MADRE IGNACIA STREET MALATE, MANILA",manning@southfield.com.ph,1/22/2018 to 1/21/2022,SOUTHFIELD AGENCIES INC Manning Agency,ARSENIO BENJAMIN E.SANTOS,Valid License,3041888,www.southfield.com.ph
"S401-B VIP BLDG 1140 ROXAS BLVD COR PLZ DE GUIA ERMITA, MANILA",None,8/9/2002 to 8/9/2004,SOVEREIGN MANPOWER MOVERS (SMMI) INC Private Employment Agency,MA VIRTUDES G BATENGA,Delisted,526-1892,None
1744 TAFT AVE PASAY CITY ,,4/28/1992 to 4/27/1994,SP INTERNATIONAL SERVICES COMPANY  Private Employment Agency,MR BRIGIDO V SIBUG JR,Delisted,5214625,
712 MANUFACTURERS BLDG PLAZA STA CRUZ MM ,,to,SPAR MANPOWER PLACEMENT COMPANY  Private Employment Agency,MR ARTHUR V GARCIA,Cancelled,406603,
*NO.26 DINAR ST ST.MICHAEL SBD MEYCAUAYAN BULACAN ,,12/15/1992 to 12/15/1994,SPARTAN INTERNATIONAL SHIPPING CORPORATION Manning Agency,BALTAZAR TRINIDAD,Delisted,595960,
62 DON BENITO HERNANDEZ ST PASAY CITY ,None,11/8/2004 to 11/8/2005,SPBA INTL. SERVICES & MANAGEMENT INC. Private Employment Agency,MARIO T. AVILA,Delisted,8347471,None
"UNIT 1101, 11/F, PEARL OF THE ORIENT TOWER, 1240 R ERMITA, MANILA",spear_17l@yahoo.com,2/23/2016 to 2/22/2020,SPEAR INTERNATIONAL MANPOWER AND TRADING Service Contractor,ANTONIO L SANTOS,Valid License,554-7465/ 09988601658/ 09989938857,www.spear_manpower.com
"2154-B, M.H. DEL PILAR STREET MALATE, MANILA",speedconmla@gmail.com,9/6/2012 to 9/5/2016,SPEED CONTINENTAL EMPLOYMENT AGENCY INC Private Employment Agency,ELY GALLAND A JUMAO-AS,Cancelled,2572975 / 09208412421,www.speedcontinental.com
"UNIT 212, B.F. COND BLDG, A SORIANO AVE COR SOLANO INTRAMUROS, MANILA",speeddmrc@yahoo.com,12/6/2014 to 12/5/2018,SPEED DEPLOYMENT MANPOWER RESOURCES CORPORATION Private Employment Agency,CRISTE A BOLANTE,Valid License,4043437/ 5266989/ 5236551/ 09219800430/09154365504,FB Acct
"MEZZ FLR, LEDI SUPERMARKET, 9 J. DE LEON STREET ILOILO",speedy.overseas@gmail.com,9/25/2014 to 9/24/2018,SPEEDY OVERSEAS SERVICES CORPORATION Service Contractor,LOLITA S PAMA,Cancelled,(033)-3379960 / 5236405 / 0923-4072345,None
"R 611-612 TRINITY BLG, 636 T M. KALAW ST. ERMITA, MANILA",spelmont@pacific.net.ph,9/8/2011 to 9/7/2015,"SPELMONT MANNING SERVICES, INC.  Manning Agency",MS JOCELYN M LOPEZ,Cancelled,5266387/5231378,
"UA 2F FEMS TOWER 1289 ZOBEL ROXAS AVE S SUPER H-W MALATE, MANILA",sphinxgroup.manpower@gmail.com,12/10/2014 to 12/10/2018,SPHINX GROUP MANPOWER PROVIDER INC Private Employment Agency,ESTRELLITA DC MASANCAY,Valid License,2562768 / 2564610/ 09988407316/ 09175282604,None
"2F&3F,FIRST GILMORE BLG,11 RXS BLVD COR STA MONICA PASAY CITY",opx@splash-phil.ph,12/5/2015 to 12/4/2019,SPLASH PHILIPPINES INCORPORATED Manning Agency,C/E LORENZO A ESTRADA II,Valid License,8319726/ 8319809/ 8319740/ 8319739,www.splashphilippines.com
"A-D,39F RUFINO PACIFIC TWR,6784 AYALA COR VA RUF SALCEDO VILLAGE, MAKATI",manila@spliethoff.com,10/14/2015 to 10/13/2019,SPLIETHOFF GROUP MANILA INC Manning Agency,CHRISTOPHER DINO DUMATOL,Valid License,3046911/3046900,NA
"SUITE 5 TESORO BLDG 1335 A.MABINI ST ERMITA, MANILA",,4/18/1987 to 4/18/1988,SPM INTEGRATED SERVICES  Private Employment Agency,MS SOFIA U BANLAWI,Forever Banned,5219026,
"4/F, SANKO LINE BLDG, 1631 SAN MARCELINO ST MALATE, MANILA",spring.resources.2013@gmail.com,6/14/2014 to 6/13/2018,SPRING RESOURCES MANAGEMENT & PROMOTION INC (FORMERLY SPRING RESOURCES MANA Private Employment Agency,SHIELLA V. NG,Cancelled,3108438/ 3108439/ 3108440,www.spring-resources.net
"G/F & 2/F 83E CORDILLERA ST, STA MESA HEIGHTS QUEZON CITY",srl@srlmanpower.com,7/10/2015 to 7/9/2019,SRL INTERNATIONAL MANPOWER SERVICES Private Employment Agency,SEVILLA L SORITA,Valid License,7437839/4165736/4011432,www.srlmanpower.com
3F NO.2 KAMUNING RD.COR.T.MORATO QUEZON CITY,None,10/6/2000 to 10/5/2002,SSC MULTI SERVICES Service Contractor,MS CECILIA V CURAMENG,Delisted,4251018 / 4251017,None
"1844 PILILIA COR ASUNCION STS, BRGY. VALENZUELA MAKATI",ssjoms@yahoo.com,10/18/2014 to 10/17/2018,SSJ OVERSEAS MANPOWER SERVICES Private Employment Agency,GEMINIANO D CALIMPON,Valid License,8326332/ 8463404/ 09325127558,None
"GF, 925-C ARAGON COR LEON GUINTO STS MALATE, MANILA",communications@ssmaritime.com,12/3/2016 to 12/2/2020,"SSM MARITIME SERVICES, INC. Manning Agency",C/E ANTONINO R GASCON JR,Valid License,5364321/5368746/5266031/5213245/ 09178710656,N/A
1256 BATANGAS ST MAKATI CITY ,,9/16/1993 to 9/16/1995,SSR INTERNATIONAL MANAGEMENT SERVICES  Service Contractor,MS SOLEDAD S RELOS,Delisted,8171826,
1976 G.TUAZON ST SAMPALOC MANILA ,,7/14/1988 to 8/13/1994,ST FRANCIS RECRUITMENT & PLACEMENT AGENCY Private Employment Agency,DRA FRANCISCA M SANTIAGO,Delisted,603696 / 601884,
1077 JP RIZAL ST MAKATI M.M. ,,to 3/31/1984,ST JAMES CONSTRUCTION INC  Construction Contractor,MS CECILIA SANTOS BUHAIN,Inactive,883508 / 872208,
"2F ENRIQUETA BLG 1675-1677 A MABINI  MALATE, MANILA",None,8/3/2004 to 8/24/2007,ST JOSEPH MARITIME COMPANY INC Philippine Registered Vessel,MR VICTOR R CASTAÃ‘EDA,Expired,,None
"RCM BLDG 1418 SAN MARCELINO ST ERMITA, MANILA",sfgs-mla@seaship,3/6/2016 to 3/5/2020,ST VINCENT SHIPPING INC Manning Agency,VINCENT C. MIRANDA,Valid License,5211566 / 5211567,None
"RMS 405&604 AP BLDG F AGONCILLO ST ERMITA MANILA ERMITA, MANILA",NA,9/12/2008 to 9/12/2009,ST. BERNARD INTERNATIONAL MANPOWER AGENCY INC Private Employment Agency,MYRNA L. PINGOL,Cancelled,4981649 / 5365943,NA
"GF, 7844 MAKATI AVE COR. GUERRERO ST. MAKATI",None,7/24/2007 to 7/23/2011,"ST. GEORGES RECRUITMENT INTERNATIONAL, INC. Private Employment Agency",BERNALYN N. LEONARD,Cancelled,8990557,None
"2/F, HIGHWAY 54 PLAZA, 986 EDSA, WACK-WACK MANDALUYONG",info@staclara.com.ph / rfa@staclara.com.ph,11/1/2016 to 10/31/2020,STA CLARA INTERNATIONAL CORPORATION Construction Contractor,NICANDRO G. LINAO,Valid License,7065155 TO 57,WWW.STACLARA.COM.PH
"G/F 208,210,212,214 2315 AURORA BLVD TRAMO ",,to 1/18/1994,STAFF ORGANIZERS INTERNATIONAL INC  Private Employment Agency,MS THERESA E ABLAN,Cancelled,8316689 / 8321432,
"RM 908 &912 L&S BLG 1414 ROXAS BLVD COR STA MONICA ERMITA, MANILA",staffseekers_agency@yahoo.com,2/12/2016 to 2/12/2020,STAFF SEEKERS INT`L MANPOWER CORPORATION Private Employment Agency,GEOFFREY RHOEL C CRUZ,Valid License,5216103,None
"NO. 43 WESTPOINT STREET, CUBAO QUEZON CITY",info@staffhouse.com,7/13/2015 to 7/12/2019,STAFFHOUSE INTERNATIONAL RESOURCES CORPORATION (FORMERLY STAFFHOUSE RESOURC Private Employment Agency,MARC R J R CAPISTRANO,Valid License,4371234,www.staffhouse.com
157 ARMSTRONG AVE MOONWALK PARANAQUE CITY ,,1/26/2011 to 1/25/2015,STAFFLINE INC  Service Contractor,MA CLOTILDE R TONG,Cancelled,8218646,
"3/F LIGHT TOWER CENTER,#1732 DIAN ST MAKATI CITY ",None,7/25/2014 to 7/24/2018,"STAFFMASTERS, INC Private Employment Agency",MARISSA A CORTEZ,Valid License,8341431 / 7294486,None
GF 2F 3F G&S BLDG 3215 ZAPOTE BRGY OLYMPIA MAKATI,,12/23/2002 to 12/22/2006,STAR DUST RESOURCES CORPORATION  Private Employment Agency,DELIA A. QUEROZ,Delisted,8997215/ 8997248,
"3RD FLOOR, ENDRIGA BLDG, 2270 TAFT AVE MALATE, MANILA",express@sepi-ph.com,4/27/2014 to 4/26/2018,STAR EXPRESS PLACEMENT INC (STAR EXPRESS PLACEMENT & PROMOTION INC) Private Employment Agency,CARMELA E. HONRADO,Valid License,5219343/ 09178833662,www.sepi-ph.com
614-615 MANUFACTURERS BLDG PLAZA STA CRUZ MM ,,to 8/6/1985,STAR MANPOWER CORPORATION  Private Employment Agency,MS REALINA A BARRIOS,Forever Banned,,
G/F PALACIO GRANDE BLDG G.LUNA COR ANDA INTRAMUROS ,,6/13/1994 to 11/13/1995,STAR OF DAVID TRADING AND CONTRACTING  Private Employment Agency,,Delisted,9362572,
2814 UNIT-K FB HARRISON VIOLETA COURT PASAY ,,6/29/1994 to 12/29/1994,STAR WAGON MANPOWER RESOURCES INTERNATIONAL Private Employment Agency,MS MARILYN S VENDIOLA,Delisted,8336998,
"GF-4F, ORINA BLG, 203 J P RIZAL ST, BGY. TEJEROS MAKATI",secretary.starworld@gmail.com,12/13/2015 to 12/12/2019,"STAR WORLD INTERNATIONAL MANPOWER & PLACEMENT AGENCY, INC. Private Employment Agency",ANABELLE J ORINA,Valid License,4038070/ 4038071/ 4037648 EXT 109/ 09175436970,www.starworldmanpower.com
"UNITS 207 & 210, 2/F, VAREB MANSION BLDG, 1679 A. MALATE, MANILA",margie@starbornerecruitment.com,9/18/2016 to 9/17/2020,STARBORNE INTERNATIONAL PROMOTIONS & MANPOWER CORP Private Employment Agency,MARGIE A CONSOLACION,Valid License,3102279/ 3106620,NA
"RM201,205 &206 DE VILLA BLG 1153 MH DEL PILAR ERMITA, MANILA",None,7/24/2007 to 7/23/2011,STARGUIDE MANPOWER SERVICES INC Private Employment Agency,NA,Cancelled,492-6494,None
"1134 RODRIGUEZ AVENUE BANGKAL, MAKATI",None,3/5/2007 to 3/5/2008,STARLINK INTERNATIONAL PROMOTION INC Private Employment Agency,ANITA C. SAZON,Delisted,8453990,None
STE 402 CATTLEYA 1 COND SALCEDO LEGASPI VILL ,,9/10/1996 to 9/10/1998,"STARLITE MARITIME, INC.  Manning Agency",MR ALFREDO G CUSI,Delisted,8130022 / 8130012,
"U-4002-4007, 4F, ASEANA 2, BRADCO AVE, ASEANA CITY PARAÃ‘AQUE",admin@starocean.com.ph,10/3/2016 to 10/2/2020,STAROCEAN MANNING PHILIPPINES INC (FOR: STAR BULK ABOITIZJEBSEN CREW MGT) Manning Agency,VIVIAN NOVENARIO-ONGPIN,Valid License,7796840 / 7796845,www.starocean.com.ph
"RMS.403 & 404, ANITA BLG 1300 QUEZON BLVD Q.C. ",,12/20/2007 to 12/19/2011,STARPORT SHIPPING  Manning Agency,MR RENATO M SALVAN,Delisted,3710587/3720849,
RM.419 FEMII BLDG ADUANA ST INTRAMUROS MANILA ,,to 9/13/1983,STARSHIP PROMOTIONS & LANDWORKERS SERVICES Private Employment Agency,MR FELICIANA A CARVAJAL,Cancelled,476840 / 476828,
"RM. 101, G/F, MRS BLDG., 1431 A. MABINI STREET ERMITA, MANILA",starway.agency@yahoo.com,6/20/2013 to 6/19/2017,STARWAY INTERNATIONAL MANPOWER SERVICES CORP Private Employment Agency,NOHYNISA A. BIRUAR,Cancelled,4508811/4508910,None
"GF, 2F & 4/F, 1802 J.NAKPIL COR SN MARCELINO STS MALATE, MANILA",hrd@statusmanila.com.ph,2/4/2017 to 2/3/2021,STATUS MARITIME CORPORATION (FOR. NORTHLAND SHIPMANAGEMENT CORP Manning Agency,MILAGRITA BALUIS JIMENEZ,Valid License,524-1111/ 525-2222,www.statuscrew.gr
"1011A(GF), B (2F) & C (3F) REMEDIOS COR MODESTO ST MALATE, MANILA",themanagement@stb-djl.com,2/25/2016 to 2/24/2020,STB-DJL HUMAN LINK INC (FORMERLY DJL MANPOWER INC) Private Employment Agency,ANGELITA V. CASTILLO,Valid License,5214875/ 5216636/ 0917-5207425,www.stb-djl.com
#308 EL GRANDE AVENUE PHASE III BF HOMES PARAÃ‘AQUE,stdmanila@yahoo.com.ph,11/22/2015 to 11/21/2019,STD OVERSEAS MANPOWER SERVICES INC Private Employment Agency,MS JOSEPHINE M LEONG,Valid License,825-8701/829-9351/ 829-4819/ 788-0565,None
"UNITS 808,806&1902, REMEDIOS COR PILAR HIDALGO LIM MALATE, MANILA",steadfast_international@yaho.com,6/11/2011 to 6/10/2015,STEADFAST INTERNATIONAL RECRUITMENT CORP Private Employment Agency,MS ALFONSA R CABASA,Cancelled,5598105/5210236,www.steadfast.eon.ph
1736 M.H.DEL PILAR ST MALATE METRO MANILA ,,to,STEELMAN ENTERPRISES  Construction Contractor,MR FELIX O DE GUZMAN,Inactive,,
"15F,DE LEON CTR,1151 MH DEL PILAR COR N.S.DE GUIA ERMITA, MANILA",info@stellamarris.ph,9/22/2016 to 9/21/2020,"STELLA MARRIS SHIPMANAGEMENT, INC. Manning Agency",JENNIFER C CRUZ,Valid License,3048001,www.stellamarris.ph
"UNIT NO. A-71, 7F, ZETA CONDOMINIUM, 191 SALCEDO S LEGASPI VILLAGE, MAKATI",rirayala@yahoo.com/ stellaraces006@gamil.com,4/8/2015 to 4/7/2019,STELLAR ACES OVERSEAS INTL INC Private Employment Agency,ROGELIO I RAYALA,Valid License,8124260/ 09396350988/ 09175122837,None
"UNITS A , C & D, G/F, 1337 A. MABINI STREET ERMITA, MANILA",info@stepupmanpower.com,3/9/2015 to 3/9/2019,STEP UP INTERNATIONAL MANPOWER SERVICES INC (FOR:STEP UP INT'L. MNPWR SCVS. Private Employment Agency,EDLYN G. CALPO,Valid License,5243245/ 0908-5155458/ 0927-4490404 (mobile),www.stepupmanpower.com
10F S-1001 STATE FINANCING CTR II ORTIGAS AVE MDLY ,None,1/18/2001 to 1/15/2003,"STERLING RESOURCES INTERNATIONAL MANPOWER, INC. Private Employment Agency",CECILIO A C VILLANUEVA,Delisted,7267157/ 7267156,None
RM.20 ADC BLDG AYALA AVE MAKATI,,8/20/1986 to 6/7/1987,STERLING SHIPPING LINES INC  Philippine Registered Vessel,MR VICENTE L ARENAS JR,Delisted,8528460 / 8681860,
31 P.GOMEZ ST BATANGAS CITY ,,3/16/1989 to 3/9/1990,STO DOMINGO SHIPPING LINES INC  Philippine Registered Vessel,MR RAMON A REYES,Delisted,,
"RMS 403, 404 & 405 VAREB MANSION, 1679 A. MABINI S MALATE, MANILA",simscorp_stockhaus@yahoo.com.ph,12/14/2008 to 12/13/2012,STOCKHAUS INTERNATIONAL MANPOWER SERVICES CORPORATION Private Employment Agency,ELIZABETH C CAUSING,Cancelled,4681889,NA
"UNITS 1&4, 6F, V-CORPORATE CTR, 125 L.P.LEVISTE ST SALCEDO VILLAGE, MAKATI",N/A,3/12/2008 to 3/11/2024,STOLT-NIELSEN PHILIPPINES INC (FORMERLY STOLT-NIELSEN TRANSPORTATION GROUP Manning Agency,JANE SY,Valid License,830-7950,www.stolt-nielsen.com
"4TH FLOOR (PORTION), 7TH FLR 2053 BUILDING EDISON  SAN ISIDRO, MAKATI",ssspi.manila@strahlmannphils.com,1/7/2017 to 1/6/2021,STRAHLMANN SHIPPING SERVICES PHILS INC Manning Agency,REX D SEBALLOS,Valid License,7723837 / 7513454,www.strahlmannphils.com
"U 1,5 & 36(GF) & U8(2F) MIDLAND PLAZA COND, M ADRI ERMITA, MANILA",NA,8/8/2008 to 8/8/2012,STRAIGHT 8 INTERNATIONAL MANPOWER SERVICES Private Employment Agency,RYAN M. HONORAS,Cancelled,338-8791,NA
"1370-E GARDEN PLAZA HOTEL BLDG, GENERAL LUNA ST PACO, MANILA",simsinc08@gmail.com / strategic.intl@yahoo.com,8/1/2014 to 7/31/2018,STRATEGIC INTERNATIONAL MANPOWER SERVICES INC (FORMERLY STRATEGIC INTERNATI Private Employment Agency,FRANCISCA G BERTULFO,Valid License,5235707/ 5235596/ 09157644053/ 09212728027,None
"RMS 500 & 501 5F L&S BLG 1414 ROXAS BLVD. ERMITA, MANILA",stronginternational@yahoo.com,7/31/2007 to 7/31/2011,STRONG INTERNATIONAL MANPOWER SOLUTIONS INC (FORMERLY SJ HALL HUMAN RESOURC Private Employment Agency,EDWARD D. BERADOR,Suspended,523-7112/523-4472,www.simsmanpower.com
"GROUND FLOOR 1812 TAFT AVENUE MALATE, MANILA",None,4/3/2014 to 4/3/2015,STRONG PLATINUM LABOR SERVICES CORPORATION Private Employment Agency,MS CAROLINE M ALMAZAN,Cancelled,521-4018/567-2311,None
139-F AURORA BLVD SAN JUAN,None,3/22/1996 to 9/21/1998,"STRONGHOLD INTERNATIONAL SERVICES, INC. Private Employment Agency",MR ORLANDO D ESPIRITU,Suspended (Document Processing),4980009/4003652,None
"RM 923, G/F, A.P. BLG, 1563 F. AGONCILLO COR P. GI ERMITA, MANILA",stronghold_intlmain@yahoo.com.ph,3/27/2011 to 3/26/2015,STRONGHOLD MANPOWER INTERNATIONAL RECRUITMENT AGENCY CORP. Private Employment Agency,MR NOEL C ENERIA,Cancelled,4981099,None
"2ND-5TH FLOORS, 2118 GIL PUYAT COR LEVERIZA ST PASAY CITY",studio85_inc@yahoo.com,3/31/2017 to 3/30/2021,STUDIO 85 PROMOTIONS INC Private Employment Agency,ROSELYN M. MORTALES,Valid License,958-2405 / 09322407742/ 09278056322,NA
"51 PRETTY RD. BF HMS. ALMANZA LAS PIÃ‘AS CPO, LAS PIÃ‘AS",None,10/24/2003 to 4/24/2004,STUDIO FILIPINA INTERNATIONAL MANPOWER SERVICES Private Employment Agency,JUANITO B. ONG,Delisted,801-3438/ 8024512 telefax,None
"1038 TERESA ST., RIZAL VILLAGE MAKATI",studiokayinternational@yahoo.com,11/11/2014 to 11/10/2018,STUDIO KAY INTL. CORP. Private Employment Agency,FRANCISCO M AQUINO JR,Valid License,8976719/ 8957835/ 09178311717,NONE
"GF,2F,3F&4F, SUBARU BLDG, 2195 G.G. CRUZ COR M. RO BACLARAN, PARAÃ‘AQUE",subaru_inc@yahoo.com,7/12/2015 to 7/11/2019,"SUBARU ENTERPRISES, INC. Private Employment Agency",DANTE B SAMSON,Valid License,8523885 TO 86/8548284,None
"U-B&C,7F,CYBERONE, EASTWOOD CTY CYBERPRK BAGUMBYN QUEZON CITY",info@subnet-group.com/ tribo@subnet-group.com,7/25/2016 to 7/24/2020,SUBNET RECRUITMENT TRAINING AND ASSESSMENT SERVICES INC Private Employment Agency,MYRNA Y SIERRA,Valid License,5703528/ 5704745/ 09176764910/ 09989740482,www.srta.subnet-group.com
"#8, M. LLANERA ST. BANGKAL, MAKATI",successintl_inc@yahoo.com,7/25/2015 to 7/24/2019,SUCCESS INTL PLACEMENT INC Private Employment Agency,ALOHA DONAIRE,Valid License,8841987 / 09178841986 /09228894881/ 0998867186,None
"NO 287 A DEL ROSARIO SREET GUIZO MANDAUE CITY, CEBU",successroad.inc.gmail.com,10/23/2017 to 10/23/2019,SUCCESS ROAD INTERNATIONAL MANPOWER CO Private Employment Agency,LEONIDA E MIZUTA,Valid License,2683520/2723915,None
574-B C&E MANSION SHAW BLVD MNDLUYONG ,None,12/18/2001 to 12/18/2003,"SUCCESS STAR INTERNATIONAL, INC. Private Employment Agency",JOSE D ESCARTIN,Delisted,8340547,None
"RM. 204 ANWELH BLDG #2079 M.H. DEL PILAR ST.  MALATE, MANILA",None,7/19/2002 to 7/18/2006,SULIMAN INTERNATIONAL PLACEMEMT & GENERAL SERVICES Private Employment Agency,VILMA M SULIMAN,Cancelled,5239142/ 3025059,None
"1ST MIDLAND OFFICERS COND GAMBOA ST LEGASPI VILLAGE, MAKATI",,to 11/12/1987,SULTAN KUDARAT DEVELOPMENT CORPORATION  Service Contractor,PROF ABDULBASIT H BANSIL,Forever Banned,,
"U1553 , LUZ HENSON BLDG., 1555 A. MABINI ST. ERMITA, MANILA",SULYAP@PLDTDSL.NET,9/17/2014 to 9/16/2018,SULYAP INC Service Contractor,MR JESUS B SORIANO,Suspended,3029052 TO 54,None
G/F ELECTRA HOUSE BLDG ESTEBAN ST LEGASPI VILL MKT ,,12/10/1987 to 12/10/1989,SUMMA KUMAGAI INC  Construction Contractor,MR TEODORO A LEGASPI,Delisted,,
SUITE 204 L & S BLDG 1414 ROXAS BLVD MANILA ,,to 1/29/1984,SUMMA OVERSEAS PLACEMENT INC  Private Employment Agency,MR LUIS HIDALGO JR,Delisted,5218949 / 5218950,
40 BACO ST BRGY STA.TERESITA QUEZON CITY ,,2/21/1997 to 2/20/1999,SUMMER MANPOWER AGENCY INC  Service Contractor,MR ROLANDO M DE GUZMAN,Delisted,7423608,
3F TRINITY BLDG 26 EAST CAPITOL DR BO KAPITOLYO PASIG CITY,NONE,4/19/2013 to 10/18/2013,SUMMIT PLACEMENT AND RESOURCES TRANSFER CORP Private Employment Agency,AGRIPINA P. ZAFRA,Delisted,6315372,NONE
"STE 602 L&S BLDG 1414 ROXAS BLVD ERMITA, MANILA",,7/4/1998 to 7/4/2000,SUN CARRIERS CORPORATION  Philippine Registered Vessel,CAPT JOSE C ROSARIO,Inactive,5758760 / 5758790,
"1639 SINGALONG STREET PACO, MANILA",sunhikkari16@gmail.com,10/12/2016 to 10/12/2018,SUN HIKKARI MANPOWER SERVICES CORP Private Employment Agency,IAN SILVERIO M ROQUE,Valid License,253-5860,None
